,TIL_INFILTRATION,T_EFFECTOR,ANGIOGENESIS,TGFB_RESISTANCE,MYELOID_INFLAMMATION,PROLIFERATION,IMMUNOPROTEASOME,EXHAUSTION,PDL1_EXPRESSION
GSM2420298,6.055438178167235,8.282830192657496,3.2174584814125784,4.074838127406619,4.7425538793066995,4.894664424645251,9.943558509739635,5.236462771129961,5.636044526028037
GSM2420299,1.6443600990009453,3.3215137803926678,2.4339068616241235,3.119637872289347,1.6982731918139664,4.524396747914678,6.583551395164856,1.2946652116589747,2.1931409191448767
GSM2420300,3.599536944456451,5.569068726526353,2.594564112336353,3.351797267129661,2.5542074379109576,4.496073381639963,8.802845143044282,2.8178834410140223,4.352617298958503
GSM2420301,1.5816638959445046,4.003524384694185,2.5413138194371956,3.65507840469042,2.654607343114092,5.117629244863649,6.399191607411943,1.1729173461320523,2.6699338356689606
GSM2420302,1.315547132181551,3.257570616805712,1.570114753055961,2.686737558803386,2.748491741053103,4.934649808366282,6.142085251779733,0.7738535060818036,1.7828278920748941
GSM2420303,3.4288316635035496,5.851643651106568,3.143523690680117,4.323695249826592,2.6323538216369036,5.626136775350704,8.647894499861671,2.5090565070129474,3.00539998774259
GSM2420304,3.9435985827172084,6.5935320780077795,3.542016251676141,4.486708982440555,3.623085360376549,5.459689592390201,8.860447685314401,2.8809783446093222,3.495695162624069
GSM2420305,1.5555863038955695,2.971144964385395,2.878307327600121,3.724256792027668,1.2005790864207273,6.726170285542961,6.978900069236349,1.3030226129759839,1.925999418556223
GSM2420306,4.645365698462307,5.6370136531305555,2.759171348809891,3.352802943196187,3.797564748940618,2.6635434360498498,8.467288016521218,3.1379652567905225,2.9791107550157854
GSM2420307,0.6910022894000891,3.0024311978028617,2.9097654159641686,3.5746610859225028,2.8424407891691774,5.322037156436327,6.6015995863391534,0.9109758866488751,1.4890290638504373
GSM2420308,2.320986044699965,3.889132574028194,4.127292901386199,3.5204401321579892,3.49756939674621,3.735923594494803,7.7118112876099945,1.702218631517959,1.7048719644563528
GSM2420310,0.6311087636755902,1.8083746282190416,2.5270559524515464,2.5529232321564055,1.3811005929430342,5.44210042424056,5.414882023985982,0.3989587955322837,0.34482849699744117
GSM2420311,4.306627544236674,6.095413250465711,3.1867798116371318,3.8757938329165698,3.9400143971537003,5.7583961833276325,8.481507894363904,3.273338331158091,3.596935142387232
GSM2420312,3.4146075686804642,4.7065001846780365,2.228063348210956,3.4489966556510128,7.1478512718867995,5.359739165699089,7.6387019789006825,2.373570564591616,3.032100843167024
GSM2420313,4.180975592642971,6.195654374899159,3.1341719817047373,3.543634804739945,2.7696109422405075,5.010247498802976,9.238920225245854,2.99053467644631,4.017921907997263
GSM2420316,6.23641199861423,7.885497474290152,2.902821885015881,3.727578368175491,3.544062443222075,5.164250499999317,10.325751262848105,4.962714523105612,5.106432077816929
GSM2420317,1.754016967965968,3.2379140641814765,2.4823810368876646,3.6876376413825334,2.4794372561850273,4.495150995312574,6.706655479199956,1.3379231133782936,0.8793136763108875
GSM2420318,3.627295582238724,4.896921701654043,1.9288512677371223,2.566774572814076,3.5807898704233825,3.3173593865376674,8.03876522241481,2.274597287825131,1.386259141133346
GSM2420319,2.7225248075642154,4.367374145523102,2.4568552865331355,2.91423000933453,1.7247394051565388,4.917131384027135,8.131153635731597,1.985962886546194,1.4467855621431225
GSM2420320,3.166473944395785,4.612989166006455,2.5488192480006293,2.9947287426342175,1.8737133389271832,4.627647271366731,8.431996185440376,2.3343117594933602,1.819259430117637
GSM2420323,2.8788299005880313,4.783321889476041,3.39739235395597,3.4070353521537933,7.4867774411144845,5.20822021562459,8.245377907275317,2.112960817919066,2.741790545264886
GSM2420324,1.4490349419884037,3.6195363780513254,3.4184496751745432,3.6107242636597263,6.507231997854341,6.596425804166386,7.061310969267828,1.3781739463635543,1.479747934366225
GSM2420325,5.499222122926259,6.964575955216695,3.7588370247243925,3.936560033010591,3.826080955124603,4.291738786262672,9.605030606409686,4.290650640571162,4.346247774082776
GSM2420326,2.7894646430371486,3.7535303302408907,2.6601204109298244,3.6029299879835373,3.9942435969871175,4.908632140884612,7.819794445922606,2.051625599203425,1.514501036274285
