step,auroc_full,functionality_auroc,functionality_delta,essentiality_auroc,essentiality_delta,chromatin_auroc,chromatin_delta,regulatory_auroc,regulatory_delta
primary_growth,1.0,0.9852941176470588,0.014705882352941235,0.8897058823529412,0.11029411764705876,1.0,0.0,0.9926470588235294,0.007352941176470562
local_invasion,0.953125,0.8958333333333334,0.05729166666666663,0.84375,0.109375,0.9947916666666666,-0.04166666666666663,0.9479166666666667,0.005208333333333259
intravasation,0.8984375,0.78125,0.1171875,0.75,0.1484375,0.9375,-0.0390625,0.8697916666666667,0.02864583333333326
survival_in_circulation,1.0,0.9791666666666666,0.02083333333333337,0.9479166666666666,0.05208333333333337,1.0,0.0,1.0,0.0
extravasation,0.9939393939393939,0.9212121212121213,0.07272727272727264,0.896969696969697,0.09696969696969693,1.0,-0.0060606060606061,0.993939393939394,-1.1102230246251565e-16
micrometastasis_formation,1.0,0.984375,0.015625,0.9739583333333334,0.02604166666666663,1.0,0.0,1.0,0.0
angiogenesis,0.9791666666666666,0.953125,0.02604166666666663,0.90625,0.07291666666666663,0.984375,-0.00520833333333337,0.9791666666666666,0.0
metastatic_colonization,0.9814814814814815,1.0,-0.01851851851851849,0.9057239057239057,0.0757575757575758,0.9932659932659933,-0.011784511784511786,0.9764309764309764,0.005050505050505083
